Gene,Attribution_Score
LY86,-0.00647228
RCAN1,-0.006436906
RPS6KB1,-0.0061515956
IFNAR1,-0.0053921877
CXCL16,-0.0052256817
TGFA,-0.0051966785
BMP6,-0.0051249717
FCGR3B,-0.0049196035
TGFB2,-0.0049064523
CCL20,-0.004893338
CYBA,-0.0046585016
DAXX,-0.0045829704
ADA,-0.004547839
MAPK3,-0.004480849
ADAM10,-0.004450083
COX5A,-0.004293212
ENSG00000249624,-0.004180911
TNFSF10,-0.0041196127
NFKB1,-0.0040660254
KEAP1,-0.004054328
DAXX,-0.0040276693
DDX58,-0.004009046
ENSG00000257767,-0.003987562
EDNRB,-0.0038606871
MAD1L1,-0.0037956457
CDK2,-0.003794584
STAT5A,-0.003758017
MITF,-0.003666001
PTGS1,-0.0036543433
IRF8,-0.0036055893
