Gene,Attribution_Score
RCAN1,-0.010032562
IFNAR1,-0.0081578605
CXCL16,-0.008061256
LY86,-0.0077581257
CYBA,-0.007478407
PTGS1,-0.0072822855
ADAM10,-0.0072097816
RPS6KB1,-0.0068721557
ST6GAL1,-0.0068187704
PARP1,-0.006678132
PSEN1,-0.0066591846
HDAC2,-0.006497071
TNFRSF1B,-0.006367687
MITF,-0.006131026
DAXX,-0.006093275
FKBP1A,-0.0060112868
SOD2,-0.00598433
COX5A,-0.005904229
KEAP1,-0.005892668
MAPK3,-0.005703754
CYCS,-0.0056958785
FCGR3B,-0.0056216745
DAXX,-0.0054335073
ITGB1,-0.005250799
CD36,-0.0051983176
PIM2,-0.0051649557
GCLC,-0.0051260246
ATP5F1C,-0.005100397
XRCC5,-0.005079787
MDM2,-0.0050687664
