Gene,Attribution_Score
CCL11,-0.010909098
IL17A,-0.010816537
IL24,-0.009941558
TNFRSF8,-0.009311595
IFNAR1,-0.009270625
MIF,-0.00850527
IFITM2,-0.008166558
CXCL16,-0.00783522
IL27RA,-0.0075244727
IL27RA,-0.007481265
IL17F,-0.007270193
MIF,-0.00711847
TBK1,-0.0068572015
IL2,-0.006739023
RFX1,-0.0066714017
RFX1,-0.006650442
CCL15,-0.0063426048
LY86,-0.0061844895
BMP6,-0.006151587
CD1A,-0.0058637457
IL18R1,-0.0057885265
IRF2,-0.005729464
AICDA,-0.0056308033
IRF8,-0.0054195262
LTA,-0.0053512044
LTA,-0.005346676
LTA,-0.0053443266
LTA,-0.005323092
CBLB,-0.005274886
MICB,-0.00501119
