Gene,Attribution_Score
IL18R1,-0.0025727332
TBK1,-0.0025614363
MIF,-0.0025228483
CCL20,-0.002503901
RFX1,-0.0024215751
RFX1,-0.0023843108
TNFRSF8,-0.0023707084
IFNAR1,-0.0023653517
IL7,-0.0023454144
IL23R,-0.002289839
IFNA6,-0.0021141772
IL27RA,-0.0020023151
EOMES,-0.001958465
IL27RA,-0.0019526317
FLT3,-0.0019076463
ITGA1,-0.001871904
SFTPD,-0.0018699842
IRF6,-0.0018624619
IL17A,-0.0017657488
CCL11,-0.0017606535
MIF,-0.0017558833
IRAK2,-0.0017255027
CLEC4C,-0.0017174736
CCR4,-0.0016597895
ENSG00000249624,-0.0016569931
CXCL1,-0.0016487703
TNF,-0.0016273533
FADD,-0.0015913693
CD1C,-0.0015846265
PTGS2,-0.0015768325
